Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
Anguilla,3904,12,3879.0,13.0,256336,788,51382.0,3373736.0,15230
Antigua and Barbuda,9106,146,8954.0,6.0,91509,1467,18901.0,189943.0,99509
Aruba,43752,236,42438.0,1078.0,406583,2193,177885.0,1653068.0,107609
Bahamas,37491,833,36366.0,292.0,93607,2080,257839.0,643767.0,400516
Barbados,105515,568,104913.0,34.0,366342,1972,786526.0,2730775.0,288023
Belize,70174,688,69336.0,150.0,170247,1669,576016.0,1397453.0,412190
Bermuda,18684,154,18465.0,65.0,301652,2486,1022846.0,16513764.0,61939
British Virgin Islands,7305,64,,,238757,2092,107339.0,3508269.0,30596
Canada,4475268,48948,4379187.0,47133.0,116579,1275,66343123.0,1728207.0,38388419
Caribbean Netherlands,11625,38,10476.0,1111.0,436259,1426,30126.0,1130559.0,26647
Cayman Islands,31472,37,8553.0,22882.0,467797,550,222773.0,3311280.0,67277
Costa Rica,1166842,9085,860711.0,297046.0,225157,1753,4659757.0,899158.0,5182354
Cuba,1112067,8530,1103389.0,148.0,98364,754,14276770.0,1262799.0,11305652
Curaçao,45986,295,44720.0,971.0,277812,1782,496693.0,3000640.0,165529
Dominica,15760,74,15673.0,13.0,217848,1023,229344.0,3170187.0,72344
Dominican Republic,650990,4384,644785.0,1821.0,58879,397,3740928.0,338350.0,11056370
El Salvador,201785,4230,179410.0,18145.0,30805,646,2610114.0,398467.0,6550389
Greenland,11971,21,2761.0,9189.0,210117,369,164926.0,2894810.0,56973
Grenada,19660,238,19358.0,64.0,173254,2097,182981.0,1612523.0,113475
Guadeloupe,199988,999,,,500228,2499,938039.0,2346306.0,399794
Guatemala,1206255,20005,1167183.0,19067.0,64908,1076,6564906.0,353255.0,18584039
Haiti,33904,860,32954.0,90.0,2903,74,132422.0,11337.0,11680283
Honduras,467493,11082,,,45737,1084,1599682.0,156506.0,10221247
Jamaica,152791,3464,101996.0,47331.0,51185,1160,1183986.0,396633.0,2985094
Martinique,225249,1079,,,602130,2884,828928.0,2215870.0,374087
Mexico,7257916,331206,6494989.0,431721.0,55167,2517,19042684.0,144742.0,131562772
Montserrat,1403,8,1376.0,19.0,282578,1611,17762.0,3577442.0,4965
Nicaragua,18491,225,4225.0,14041.0,2728,33,,,6779100
Panama,1025844,8575,1014270.0,2999.0,230684,1928,7404783.0,1665132.0,4446964
Saint Kitts and Nevis,6562,46,6516.0,0.0,121810,854,126831.0,2354346.0,53871
Saint Lucia,29748,409,29095.0,244.0,160702,2209,210983.0,1139752.0,185113
Saint Martin,12180,63,1399.0,10718.0,306569,1586,112382.0,2828643.0,39730
Saint Pierre Miquelon,3349,2,2449.0,898.0,581525,347,25400.0,4410488.0,5759
Sint Maarten,10998,89,10905.0,4.0,250148,2024,62056.0,1411454.0,43966
St. Barth,5402,6,,,543188,603,78646.0,7908095.0,9945
St. Vincent Grenadines,9538,119,9395.0,24.0,85503,1067,112990.0,1012900.0,111551
Trinidad and Tobago,186279,4289,181831.0,159.0,132434,3049,879730.0,625437.0,1406585
Turks and Caicos,6479,36,6423.0,20.0,163031,906,611527.0,15387811.0,39741
USA,102963370,1120040,99741912.0,2101418.0,307532,3345,1154962513.0,3449655.0,334805269
