rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
1,"spotify:track:3N2dY8tyTp7XGhsTSigaxT","Nikbinler","Eylülzede","Zaruret Records",1,1,12
2,"spotify:track:410fyfFghBsxNu45LiNJ24","fitterkarma","Pag-Ibig ay Kanibalismo II","fitterkarma",2,-1,1
3,"spotify:track:4a4KvRWGEUaslwPzpVvJij","Hazbin Hotel, Jessica Vosk, Alex Brightman, Sam Haft, Andrew Underberg","Gravity","Atlantic Records",3,3,5
4,"spotify:track:0xxZY5C9xxij3D1HkzbnfC","Bobby ""Boris"" Pickett, The Crypt-Kickers","Monster Mash","Decca Music Group Ltd.",1,18,264
5,"spotify:track:6AruzerQiOr65Muh9T7rGI","Annkur R Pathakk, Sachin Urmtosh","Mera Hua (From ""Ek Deewane Ki Deewaniyat"") (Original Motion Picture Soundtrack)","PlayDMF",2,2,12
6,"spotify:track:4G7bbgD2DHORU4frrWoCXp","DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG","Posso Até Não Te Dar Flores","Bololo Records",5,5,24
7,"spotify:track:1WYC1u2z1gCKdDazxK95CI","Şam, Laçin","Kendine İyi Bak","DMC",4,4,10
8,"spotify:track:1sUdq3kWa9dJXHu3eYOUll","Andrew Gold","Spooky, Scary Skeletons - Undead Tombstone Remix","Craft Recordings",8,21,106
9,"spotify:track:08mbeGhGSQaNheBe2DzpRc","Trap Remix Guys","Harry Potter - Trap Remix","TR Guys",9,31,13
10,"spotify:track:5dOsHFII8HF05Cq6BoZDOa","Yıldırım Elmas","Bende Katilime Aşıktım","TFB Records",2,6,12
11,"spotify:track:18rfxb2keyIjrxbhlqXFgo","aelle","One in a Million - Reggae","aelle",6,7,7
12,"spotify:track:1NXbNEAcPvY5G1xvfN57aA","Tame Impala","Dracula","Columbia",3,8,19
13,"spotify:track:63y2aL2dT6zzw8FOSLaNrp","The Citizens of Halloween","This Is Halloween","Walt Disney Records",1,48,188
14,"spotify:track:6sGIMrtIzQjdzNndVxe397","Olivia Dean","So Easy (To Fall In Love)","PLG - Capitol",7,9,19
15,"spotify:track:4YkPsxVBXkM4jBgMTAxtFz","WANYAi, Z9","ดาวตก (Wish) [feat. Z9]","Holy Fox Co Ltd",10,10,12
16,"spotify:track:55lijDD6OAjLFFUHU9tcDm","RAYE","WHERE IS MY HUSBAND!","Human Re Sources",2,11,26
17,"spotify:track:4Oc1qHsjM4kM0AARvlwSs3","Abraham Mateo, Ana Mena","Quiero Decirte","Sony Music Entertainment",11,12,14
18,"spotify:track:5Y8C6KjzBRKvcT3Aln1Bc4","disiz, Theodora","melodrama","Carré Bleu Production",9,13,19
19,"spotify:track:569uHYIB0X324FZOBEhvit","Ray Parker Jr.","Ghostbusters","Arista/Legacy",19,56,50
20,"spotify:track:6pOSgZYfI73XOsjjZqrIUf","Dj Gustomares, MC Flavinho, Iraqui ZL, Dream Records","Bandido problemático","Dream Rec",16,16,16
21,"spotify:track:4fUK2q5ERoi97E3g2kwB8c","Tkandz, CXSPER","NOW OR NEVER","Everything's Yours Ent",1,15,33
22,"spotify:track:4i0HNuFEH6P6K4UnsY5uUh","NMIXX","Blue Valentine","Republic Records - NMIXX",14,14,5
23,"spotify:track:27gcAFVOnixwd1Kd7q428C","VAD BOYZ","MUEVELOU","V RECORDS",5,23,29
24,"spotify:track:3A02hWQ2ebOFDWSbAMNnpw","Madison Beer","bittersweet","Epic/Sing It Loud",16,17,5
25,"spotify:track:0620OecAlwJQxWieRW4L9s","Labi Siffre","Bless the Telephone","Edsel",20,20,8
26,"spotify:track:0l72HGRQkAR0imHxvpLi8a","SIENNA SPIRO","Die On This Hill","Capitol Records",19,19,5
27,"spotify:track:39PWLJrvfBCrfe4NX9aGZD","October Country","My Girlfriend Is a Witch","Epic/Legacy",27,78,18
28,"spotify:track:59hVbgr8rfYkDbHfr8RcGI","Kenshi Yonezu","IRIS OUT","Sony Music Labels Inc.",12,25,33
29,"spotify:track:4WFfPxJv1KRekG6mxn837K","JISOO, ZAYN","EYES CLOSED (with ZAYN)","Warner Records",17,22,5
30,"spotify:track:7swocJUCUWTCiRUAU9oerC","John Carpenter","Halloween Theme - Main Title","Halloween",11,69,68
31,"spotify:track:79bWkyd08EFDO0ZZuu7IRT","Furacão 2000, Nyasia","Mimosa 2000","Furacao 2000",7,24,35
32,"spotify:track:0q5e5KtUOhYQujmhLP0pKd","Paresh Pahuja, Shiv Tandan, Meghdeep Bose","Dooron Dooron","Paresh Pahuja",29,29,39
33,"spotify:track:5QOvYYp7yRSY6LP7Vm48br","Misfits","Halloween - Mix-O-Lydian 1981","Astralwerks (ASW)",33,-1,30
34,"spotify:track:7hCUHXMZknrymWCyeMx8B6","cape, JXNDRO, Sayfalse","MONTAGEM RUGADA","Zime Media AB",6,27,44
